540,651
544,648
545,649
545,645
547,647
547,643
548,643
552,638
579,619
798,521
908,490
908,482
893,474
866,462
865,466
857,472
836,468
821,475
799,470
767,465
742,470
700,451
630,441
593,442
576,464
644,553
555,491
594,545
664,615
451,437
742,515
438,437
364,401
749,519
392,482
286,381
752,520
240,364
745,522
444,553
197,334
181,323
157,327
144,328
134,333
132,331
128,335
123,333
802,528
685,532
666,541
667,543
666,542
668,541
667,542
671,541
676,540
679,538
678,538
679,538
681,542
696,537
712,532
715,530
812,446
918,402
880,403
900,385
875,387
840,386
817,397
780,398
757,397
735,396
688,395
649,400
606,405
567,400
544,405
527,407
505,406
476,407
432,412
385,423
374,424
361,423
355,419
345,427
320,439
289,439
265,442
240,445
212,448
186,442
171,444
148,441
137,445
131,452
119,451
116,454
139,459
260,548
688,527
696,528
704,532
711,532
717,533
715,532
726,533
1023,534
744,534
682,535
615,560
603,575
599,574
627,551
670,538
680,537
644,545
600,578
559,619
531,648
526,652
536,643
541,638
566,616
589,597
918,429
730,517
891,475
849,473
820,474
796,466
770,468
739,470
716,460
698,463
664,462
615,444
575,438
556,439
532,436
504,434
468,428
440,423
411,418
381,418
363,428
339,429
318,431
300,433
267,426
236,434
205,421
184,419
162,418
146,410
136,419
128,424
113,419
101,417
99,419
93,422
93,425
92,427
93,434
642,525
649,530
650,530
650,527
681,529
700,528
700,528
684,528
675,530
676,531
672,531
663,533
659,534
657,534
658,535
657,534
653,534
644,534
639,539
632,542
631,547
615,559
599,575
590,582
597,575
607,568
610,563
606,566
604,569
610,563
621,552
636,540
652,535
662,531
673,533
672,531
683,533
684,533
924,699
904,720
855,731
792,737
736,734
682,738
636,733
594,734
554,737
517,736
486,739
447,741
419,738
384,739
355,741
327,738
300,750
267,743
248,744
231,748
217,744
207,736
195,734
189,738
170,732
155,729
135,723
117,718
104,715
96,717
97,720
93,720
91,722
451,720
467,706
491,683
509,665
533,641
558,616
589,588
610,569
614,564
613,565
613,562
619,558
615,564
618,559
624,556
627,550
634,546
630,548
622,557
604,574
588,588
579,598
574,600
916,194
918,196
920,190
925,206
900,200
860,205
817,206
760,202
712,196
662,200
623,202
595,214
565,225
541,228
528,230
506,229
476,230
448,226
420,229
390,226
370,228
347,232
318,235
297,236
266,235
236,239
206,240
181,243
158,238
142,244
126,246
112,250
98,261
93,263
93,261
93,262
95,254
738,533
659,532
654,533
654,535
661,533
666,533
669,535
665,534
662,535
660,535
674,531
679,532
677,534
672,534
672,535
672,534
672,534
663,536
660,535
657,538
652,538
649,540
640,542
642,541
649,542
663,520
813,460
907,232
901,228
879,242
836,229
799,224
753,221
698,228
639,226
594,230
562,231
527,234
488,233
450,238
423,247
402,246
374,249
355,254
336,250
323,254
309,255
298,252
284,253
266,247
252,249
235,255
229,255
220,252
199,247
188,249
181,251
164,259
151,262
136,262
128,261
117,263
104,265
101,267
98,270
99,270
592,557
609,555
616,547
626,541
640,534
650,532
660,534
660,532
652,533
651,533
650,535
651,534
663,533
670,532
678,533
679,533
678,532
678,533
674,535
653,534
657,535
658,536
693,526
912,496
880,496
872,525
817,506
762,509
717,493
683,494
639,476
605,476
576,474
560,481
530,473
499,474
467,469
441,464
421,470
391,461
363,471
330,465
300,462
271,454
245,455
218,451
193,448
176,447
156,447
141,448
134,452
120,452
102,436
97,440
138,450
176,463
209,488
196,480
1023,529
696,534
655,534
645,536
643,534
644,538
623,546
605,564
592,576
578,590
591,580
592,575
566,605
563,607
568,603
575,597
582,587
618,571
866,751
920,751
923,757
908,775
875,783
839,786
809,783
776,778
744,780
695,775
664,775
631,776
598,769
564,770
537,771
508,766
474,770
443,767
417,766
384,751
356,754
323,746
303,751
270,741
242,735
219,738
196,725
187,733
176,729
166,727
154,714
145,716
133,710
127,709
116,705
107,708
98,713
95,717
90,709
164,699
444,721
458,710
485,683
511,658
535,632
546,627
553,619
557,618
561,614
571,603
581,590
585,589
587,587
586,585
585,588
586,589
572,603
555,619
547,629
539,635
535,642
531,645
536,641
544,635
558,622
573,614
588,601
605,586
627,572
925,738
908,731
890,740
863,744
832,736
804,737
772,734
749,735
733,738
706,734
680,734
648,730
629,730
611,727
585,723
568,728
543,727
519,728
499,723
477,719
453,712
431,707
411,708
393,702
383,709
357,703
334,705
317,699
301,699
282,695
258,690
246,687
239,689
229,691
217,688
209,690
201,686
192,686
187,683
181,682
177,682
168,680
164,680
159,678
153,676
149,680
146,681
142,681
137,680
133,677
130,676
129,678
125,677
120,674
117,676
114,674
108,673
106,673
101,673
101,672
99,676
98,676
98,676
96,676
95,678
97,677
98,680
98,679
106,686
449,721
459,713
475,697
492,680
524,651
552,623
553,624
560,615
569,607
558,617
528,647
525,648
529,645
533,640
538,636
542,632
544,629
542,634
542,630
545,629
546,625
551,621
555,615
