1214,3457
1294,3535
1436,3603
1615,3631
1842,3663
2126,3664
2336,3640
2639,3564
2830,3446
2987,3330
3030,3194
3055,3045
3022,2868
2993,2756
2816,2694
2607,2640
2351,2640
2064,2623
1836,2594
1692,2482
1450,2376
1249,2273
1100,2144
1056,1969
986,1855
996,1711
1136,1505
1339,1374
1552,1222
1776,1124
2124,1008
2444,943
